model,log,alg,time

g-25-20-20-10-25--20-20-20--10--25--1,log,astar,141
g-25-20-20-10-25--20-20-20--10--25--10,log,astar,1240
g-25-20-20-10-25--20-20-20--10--25--11,log,astar,44
g-25-20-20-10-25--20-20-20--10--25--12,log,astar,1738
g-25-20-20-10-25--20-20-20--10--25--13,log,astar,7242
g-25-20-20-10-25--20-20-20--10--25--14,log,astar,1242
g-25-20-20-10-25--20-20-20--10--25--15,log,astar,401
g-25-20-20-10-25--20-20-20--10--25--16,log,astar,3625
g-25-20-20-10-25--20-20-20--10--25--17,log,astar,19590
g-25-20-20-10-25--20-20-20--10--25--18,log,astar,42457
g-25-20-20-10-25--20-20-20--10--25--19,log,astar,12193
g-25-20-20-10-25--20-20-20--10--25--2,log,astar,524
g-25-20-20-10-25--20-20-20--10--25--20,log,astar,31
g-25-20-20-10-25--20-20-20--10--25--21,log,astar,1782
g-25-20-20-10-25--20-20-20--10--25--22,log,astar,2220
g-25-20-20-10-25--20-20-20--10--25--23,log,astar,220
g-25-20-20-10-25--20-20-20--10--25--24,log,astar,673
g-25-20-20-10-25--20-20-20--10--25--25,log,astar,238
g-25-20-20-10-25--20-20-20--10--25--26,log,astar,432
g-25-20-20-10-25--20-20-20--10--25--27,log,astar,271
g-25-20-20-10-25--20-20-20--10--25--28,log,astar,411
g-25-20-20-10-25--20-20-20--10--25--29,log,astar,16275
g-25-20-20-10-25--20-20-20--10--25--3,log,astar,60000
g-25-20-20-10-25--20-20-20--10--25--30,log,astar,17548
g-25-20-20-10-25--20-20-20--10--25--4,log,astar,484
g-25-20-20-10-25--20-20-20--10--25--5,log,astar,122
g-25-20-20-10-25--20-20-20--10--25--6,log,astar,60000
g-25-20-20-10-25--20-20-20--10--25--7,log,astar,48
g-25-20-20-10-25--20-20-20--10--25--8,log,astar,2528
g-25-20-20-10-25--20-20-20--10--25--9,log,astar,26
g-25-20-20-10-25--20-20-20--10--50--1,log,astar,33
g-25-20-20-10-25--20-20-20--10--50--10,log,astar,22
g-25-20-20-10-25--20-20-20--10--50--11,log,astar,60000
g-25-20-20-10-25--20-20-20--10--50--12,log,astar,28
g-25-20-20-10-25--20-20-20--10--50--13,log,astar,60000
g-25-20-20-10-25--20-20-20--10--50--14,log,astar,1530
g-25-20-20-10-25--20-20-20--10--50--15,log,astar,60000
g-25-20-20-10-25--20-20-20--10--50--16,log,astar,60000
g-25-20-20-10-25--20-20-20--10--50--17,log,astar,2024
g-25-20-20-10-25--20-20-20--10--50--18,log,astar,60000
g-25-20-20-10-25--20-20-20--10--50--19,log,astar,60000
g-25-20-20-10-25--20-20-20--10--50--2,log,astar,585
g-25-20-20-10-25--20-20-20--10--50--20,log,astar,2871
g-25-20-20-10-25--20-20-20--10--50--21,log,astar,60000
g-25-20-20-10-25--20-20-20--10--50--22,log,astar,60000
g-25-20-20-10-25--20-20-20--10--50--23,log,astar,60000
g-25-20-20-10-25--20-20-20--10--50--24,log,astar,60000
g-25-20-20-10-25--20-20-20--10--50--25,log,astar,60000
g-25-20-20-10-25--20-20-20--10--50--26,log,astar,60000
g-25-20-20-10-25--20-20-20--10--50--27,log,astar,60000
g-25-20-20-10-25--20-20-20--10--50--28,log,astar,60000
g-25-20-20-10-25--20-20-20--10--50--29,log,astar,13414
g-25-20-20-10-25--20-20-20--10--50--3,log,astar,60000
g-25-20-20-10-25--20-20-20--10--50--30,log,astar,60000
g-25-20-20-10-25--20-20-20--10--50--4,log,astar,7533
g-25-20-20-10-25--20-20-20--10--50--5,log,astar,11609
g-25-20-20-10-25--20-20-20--10--50--6,log,astar,15
g-25-20-20-10-25--20-20-20--10--50--7,log,astar,23
g-25-20-20-10-25--20-20-20--10--50--8,log,astar,19
g-25-20-20-10-25--20-20-20--10--50--9,log,astar,27
g-25-20-20-10-25--20-20-20--10--75--1,log,astar,60000
g-25-20-20-10-25--20-20-20--10--75--10,log,astar,60000
g-25-20-20-10-25--20-20-20--10--75--11,log,astar,60000
g-25-20-20-10-25--20-20-20--10--75--12,log,astar,60000
g-25-20-20-10-25--20-20-20--10--75--13,log,astar,60000
g-25-20-20-10-25--20-20-20--10--75--14,log,astar,60000
g-25-20-20-10-25--20-20-20--10--75--15,log,astar,60000
g-25-20-20-10-25--20-20-20--10--75--16,log,astar,60000
g-25-20-20-10-25--20-20-20--10--75--17,log,astar,60000
g-25-20-20-10-25--20-20-20--10--75--18,log,astar,60000
g-25-20-20-10-25--20-20-20--10--75--19,log,astar,60000
g-25-20-20-10-25--20-20-20--10--75--2,log,astar,60000
g-25-20-20-10-25--20-20-20--10--75--20,log,astar,60000
g-25-20-20-10-25--20-20-20--10--75--21,log,astar,60000
g-25-20-20-10-25--20-20-20--10--75--22,log,astar,60000
g-25-20-20-10-25--20-20-20--10--75--23,log,astar,60000
g-25-20-20-10-25--20-20-20--10--75--24,log,astar,60000
g-25-20-20-10-25--20-20-20--10--75--25,log,astar,60000
g-25-20-20-10-25--20-20-20--10--75--26,log,astar,60000
g-25-20-20-10-25--20-20-20--10--75--27,log,astar,60000
g-25-20-20-10-25--20-20-20--10--75--28,log,astar,60000
g-25-20-20-10-25--20-20-20--10--75--29,log,astar,60000
g-25-20-20-10-25--20-20-20--10--75--3,log,astar,60000
g-25-20-20-10-25--20-20-20--10--75--30,log,astar,154
g-25-20-20-10-25--20-20-20--10--75--4,log,astar,60000
g-25-20-20-10-25--20-20-20--10--75--5,log,astar,60000
g-25-20-20-10-25--20-20-20--10--75--6,log,astar,60000
g-25-20-20-10-25--20-20-20--10--75--7,log,astar,60000
g-25-20-20-10-25--20-20-20--10--75--8,log,astar,82
g-25-20-20-10-25--20-20-20--10--75--9,log,astar,60000
g-25-20-20-10-25--20-20-20--30--25--1,log,astar,154
g-25-20-20-10-25--20-20-20--30--25--10,log,astar,151
g-25-20-20-10-25--20-20-20--30--25--11,log,astar,2250
g-25-20-20-10-25--20-20-20--30--25--12,log,astar,70
g-25-20-20-10-25--20-20-20--30--25--13,log,astar,5913
g-25-20-20-10-25--20-20-20--30--25--14,log,astar,20
g-25-20-20-10-25--20-20-20--30--25--15,log,astar,393
g-25-20-20-10-25--20-20-20--30--25--16,log,astar,474
